姓名 | 出场 | 时间 | 投篮命中 | 投篮出手 | 投篮命中率 | 三分命中 | 三分出手 | 三分命中率 | 罚球命中 | 罚球出手 | 罚球命中率 | 篮板 | 助攻 | 抢断 | 盖帽 | 失误 | 犯规 | 得分
TonyParker | 55 | 19.4 | 3.2 | 7.1 | 0.45899999999999996 | 0.2 | 0.7 | 0.27 | 1 | 1.4 | 0.705 | 1.7 | 3.5 | 0.51 | 0.02 | 1.24 | 0.95 | 7.7
ArnoldasKulboka | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
JPMacura | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
RudyGobert | 56 | 32.3 | 4.9 | 7.9 | 0.623 | 0 | 0 | 0.0 | 3.6 | 5.3 | 0.682 | 10.7 | 1.4 | 0.79 | 2.30 | 1.91 | 2.73 | 13.5
JoeIngles | 82 | 31.3 | 4.1 | 8.8 | 0.467 | 2.5 | 5.7 | 0.44 | 0.8 | 1.0 | 0.795 | 4.2 | 4.8 | 1.11 | 0.24 | 1.93 | 2.17 | 11.5
RickyRubio | 77 | 29.1 | 4.5 | 10.7 | 0.418 | 1.2 | 3.5 | 0.35200000000000004 | 2.9 | 3.3 | 0.866 | 4.6 | 5.3 | 1.57 | 0.14 | 2.70 | 2.68 | 13.1
AlecBurks | 64 | 16.4 | 2.7 | 6.5 | 0.41100000000000003 | 0.7 | 2.2 | 0.331 | 1.7 | 1.9 | 0.863 | 3.0 | 1.0 | 0.59 | 0.12 | 0.94 | 1.17 | 7.7
JaeCrowder | 80 | 26.0 | 3.4 | 8.4 | 0.40399999999999997 | 1.4 | 4.3 | 0.32299999999999995 | 1.5 | 1.9 | 0.818 | 3.4 | 1.2 | 0.80 | 0.26 | 0.93 | 2.34 | 9.7
ThaboSefolosha | 38 | 20.9 | 3.1 | 6.3 | 0.49200000000000005 | 0.8 | 2.2 | 0.381 | 1.2 | 1.4 | 0.815 | 4.2 | 0.9 | 1.34 | 0.32 | 0.79 | 1.55 | 8.2
DanteExum | 14 | 16.7 | 3.0 | 6.2 | 0.483 | 0.4 | 1.3 | 0.278 | 1.8 | 2.2 | 0.8059999999999999 | 1.9 | 3.1 | 0.57 | 0.21 | 1.43 | 1.43 | 8.1
EkpeUdoh | 63 | 12.7 | 1.0 | 1.9 | 0.5 | 0 | 0.0 | 0.0 | 0.7 | 0.9 | 0.75 | 2.4 | 0.8 | 0.68 | 1.17 | 0.32 | 1.67 | 2.6
DonovanMitchell | 80 | 33.1 | 7.5 | 17.1 | 0.436 | 2.4 | 7.0 | 0.33799999999999997 | 3.0 | 3.7 | 0.805 | 3.7 | 3.7 | 1.54 | 0.36 | 2.75 | 2.67 | 20.3
TonyBradley | 9 | 3.0 | 0.3 | 1.2 | 0.273 | 0 | 0.1 | 0.0 | 0.2 | 0.2 | 1.0 | 1.2 | 0.1 | 0 | 0 | 0 | 0.11 | 0.9
RaulNeto | 41 | 12.0 | 1.7 | 3.7 | 0.457 | 0.5 | 1.1 | 0.40399999999999997 | 0.6 | 0.9 | 0.743 | 1.2 | 1.8 | 0.32 | 0.10 | 0.88 | 0.93 | 4.5
RoyceONeale | 69 | 16.6 | 1.7 | 4.1 | 0.423 | 0.6 | 1.7 | 0.35600000000000004 | 0.9 | 1.1 | 0.8029999999999999 | 3.4 | 1.4 | 0.52 | 0.23 | 0.81 | 1.52 | 5.0
GeorgesNiang | 9 | 3.7 | 0.4 | 1.2 | 0.364 | 0 | 0.4 | 0.0 | 0.1 | 0.2 | 0.5 | 1 | 0.3 | 0.22 | 0 | 0.33 | 0.11 | 1
ErikMcCree | 4 | 2.0 | 0 | 0.5 | 0.0 | 0 | 0.2 | 0.0 | 0 | 0 | 0.0 | 0.2 | 0 | 0.25 | 0 | 0.25 | 0 | 0
DerrickFavors | 77 | 27.9 | 5.1 | 9.1 | 0.563 | 0.2 | 0.8 | 0.222 | 1.8 | 2.8 | 0.6509999999999999 | 7.2 | 1.3 | 0.70 | 1.06 | 1.14 | 2.13 | 12.3
GraysonAllen | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
DavidStockton | 3 | 3.0 | 0.7 | 1 | 0.667 | 0.7 | 1 | 0.667 | 1.3 | 1.3 | 1.0 | 0 | 0 | 0 | 0 | 0.33 | 1 | 3.3
LeBronJames | 83 | 36.7 | 10.5 | 19.2 | 0.544 | 1.8 | 5.0 | 0.37 | 4.7 | 6.4 | 0.731 | 8.7 | 9.1 | 1.42 | 0.86 | 4.25 | 1.65 | 27.5
LuolDeng | 1 | 13.0 | 1 | 2.0 | 0.5 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 0 | 1 | 1 | 0 | 1 | 0 | 2.0
LonzoBall | 52 | 34.1 | 3.9 | 10.8 | 0.36 | 1.7 | 5.7 | 0.305 | 0.6 | 1.4 | 0.451 | 6.9 | 7.2 | 1.67 | 0.81 | 2.62 | 2.25 | 10.2
BrandonIngram | 60 | 33.0 | 6.0 | 12.8 | 0.47200000000000003 | 0.7 | 1.8 | 0.38299999999999995 | 3.2 | 4.7 | 0.6809999999999999 | 5.3 | 3.9 | 0.77 | 0.72 | 2.53 | 2.72 | 15.9
KyleKuzma | 78 | 30.9 | 6.1 | 13.6 | 0.451 | 2.1 | 5.7 | 0.364 | 1.9 | 2.7 | 0.7070000000000001 | 6.3 | 1.8 | 0.63 | 0.44 | 1.82 | 2.05 | 16.2
JoshHart | 63 | 23.1 | 2.8 | 6.0 | 0.469 | 1.2 | 3.1 | 0.396 | 1.0 | 1.5 | 0.7020000000000001 | 4.2 | 1.3 | 0.75 | 0.25 | 0.75 | 1.70 | 7.9
IvicaZubac | 43 | 9.5 | 1.4 | 2.8 | 0.5 | 0 | 0.0 | 0.0 | 0.9 | 1.2 | 0.765 | 2.8 | 0.6 | 0.19 | 0.35 | 0.60 | 1.09 | 3.7
GaryPaytonII | 23 | 9.4 | 1.3 | 3.2 | 0.405 | 0.3 | 1.1 | 0.24 | 0.1 | 0.4 | 0.33299999999999996 | 1.9 | 0.9 | 0.30 | 0.13 | 0.30 | 1.30 | 3.0
AlexCaruso | 37 | 15.2 | 1.4 | 3.1 | 0.431 | 0.4 | 1.2 | 0.302 | 0.6 | 0.8 | 0.7 | 1.8 | 2.0 | 0.65 | 0.24 | 1.11 | 1.41 | 3.6
TravisWear | 17 | 13.5 | 1.5 | 4.2 | 0.34700000000000003 | 1 | 2.8 | 0.36200000000000004 | 0.5 | 0.5 | 1.0 | 2.2 | 0.4 | 0.24 | 0.29 | 0.35 | 1.76 | 4.4
AndreIngram | 2 | 32.0 | 4.0 | 8.5 | 0.47100000000000003 | 2.5 | 4.5 | 0.556 | 1.5 | 1.5 | 1.0 | 3.0 | 3.5 | 1.50 | 1.50 | 1.50 | 1.50 | 12.0
MalikNewman | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
LanceStephenson | 82 | 22.4 | 3.7 | 8.6 | 0.42700000000000005 | 0.8 | 2.8 | 0.289 | 1.0 | 1.5 | 0.6609999999999999 | 5.2 | 2.9 | 0.57 | 0.20 | 1.60 | 2.16 | 9.2
KentaviousCaldwellPope | 74 | 33.1 | 4.6 | 10.8 | 0.42700000000000005 | 2.1 | 5.6 | 0.384 | 2.1 | 2.6 | 0.789 | 5.2 | 2.2 | 1.43 | 0.22 | 1.31 | 1.96 | 13.4
IsaacBonga | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
SviatoslavMykhailiuk | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
RajonRondo | 65 | 26.2 | 3.6 | 7.6 | 0.46799999999999997 | 0.8 | 2.3 | 0.33299999999999996 | 0.4 | 0.7 | 0.5429999999999999 | 4.0 | 8.2 | 1.08 | 0.15 | 2.31 | 1.83 | 8.3
MoritzWagner | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
